,Country,Lat,Long,Population,GrowthRate,Area,Density,Airports,GDP
82,Iraq,33.0,44.0,39309.783,1.0232,438317.0,89.6835,16.0,679098.0
83,Ireland,53.1424,-7.6921,4882.495,1.0113,70273.0,69.479,17.0,392014.0
84,Israel,31.0,35.0,8519.377,1.016,20770.0,410.177,17.0,334675.0
85,Italy,43.0,12.0,60550.075,0.9985,301336.0,200.9387,83.0,2244767.0
86,Jamaica,18.1096,-77.2975,2948.279,1.0044,10991.0,268.2448,6.0,26516.0
87,Japan,36.0,138.0,126860.301,0.997,377930.0,335.6714,123.0,5451452.0
88,Jordan,31.24,36.51,10101.694,1.01,89342.0,113.0677,6.0,93256.0
89,Kazakhstan,48.0196,66.9237,18551.427,1.0121,2724900.0,6.8081,26.0,530646.0
90,Kenya,-0.0236,37.9062,52573.973,1.0228,580367.0,90.5875,35.0,194401.0
91,"Korea, South",36.0,128.0,38445.7345,1.00265,110374.0,362.0548,34.0,2307718.0
92,Kosovo,42.602636,20.902977,,,,,,
93,Kuwait,29.5,47.75,4207.083,1.0151,17818.0,236.1142,3.0,307193.0
94,Kyrgyzstan,41.2044,74.7661,6415.85,1.0169,199951.0,32.0871,9.0,25187.0
95,Laos,19.856270000000002,102.495496,7169.455,1.0148,236800.0,30.2764,14.0,57912.0
96,Latvia,56.8796,24.6032,1906.743,0.9892,64559.0,29.5349,7.0,54700.0
97,Lebanon,33.8547,35.8623,6855.713,0.9956,10452.0,655.9236,3.0,74628.0
98,Lesotho,-29.609988,28.233608,2125.268,1.008,30355.0,70.0138,3.0,6593.0
99,Liberia,6.4281,-9.4295,4937.374,1.0244,111369.0,44.3335,3.0,6160.0
100,Libya,26.3351,17.228331,6777.452,1.0138,1759540.0,3.8518,18.0,34753.0
101,Liechtenstein,47.14,9.55,,,,,,
102,Lithuania,55.1694,23.8813,2759.627,0.9865,65300.0,42.2608,10.0,95286.0
103,Luxembourg,49.8153,6.1296,615.729,1.0166,2586.0,238.1009,1.0,65868.0
104,MS Zaandam,0.0,0.0,,,,,,
105,Madagascar,-18.7669,46.8691,26969.307,1.0268,587041.0,45.9411,43.0,53409.0
106,Malawi,-13.254307999999998,34.301525,18628.747,1.0269,118484.0,157.2258,10.0,25570.0
